ID Cliente,Nombre del Cliente,ID Producto,Nombre del Producto,Cantidad,Valor,Costo,Fecha de Compra,Canal de Venta,Segmento de Mercado,Historial de Compras,Preferencias del Cliente
193,Miguel Díaz,1017,Refrigerador,1,821.58,41.36,2024-01-31 10:40:45.234587,Catálogo,Estudiantes,1,Gastronomía
775,Andrea Rodríguez,1004,Cafetera,3,1962.52,284.7,2024-11-05 10:40:45.234604,Tienda Física,Adultos,30,Moda
128,Pedro Suárez,1011,Horno,2,876.11,692.84,2023-11-26 10:40:45.234607,Aplicación Móvil,Empresas,35,Salud
968,Ana Vásquez,1028,Licuadora,1,3601.39,563.46,2023-06-09 10:40:45.234609,Catálogo,Estudiantes,47,Entretenimiento
374,Lucía Flores,1009,Secadora,6,73.4,2047.0,2024-05-07 10:40:45.234611,Teléfono,Tercera Edad,12,Hogar
963,Valentina Sosa,1030,Reloj Inteligente,5,4971.81,1112.44,2024-09-06 10:40:45.234613,Ventas Directas,Empresas,36,Moda
60,Miguel Ramírez,1022,Impresora,7,1141.61,2098.53,2024-08-02 10:40:45.234615,Ventas Directas,Profesionales,29,Entretenimiento
270,Carlos Rivera,1020,Cámara,7,615.15,596.44,2024-02-21 10:40:45.234616,Catálogo,Hogares,24,Deportes
959,Alejandra Reyes,1007,Tostadora,9,2639.7,2897.11,2023-11-07 10:40:45.234618,Tienda Física,Jóvenes,44,Automotriz
677,Jorge Rodríguez,1014,Cafetera,5,3671.73,231.31,2023-01-31 10:40:45.234620,Catálogo,Estudiantes,30,Gastronomía
509,Isabella Ramírez,1006,Televisor,2,4362.64,1706.78,2024-06-17 10:40:45.234622,Teléfono,Jóvenes,19,Viajes
597,Isabella Herrera,1004,Tostadora,2,3206.39,1780.91,2024-03-15 10:40:45.234624,En Línea,Empresas,7,Belleza
703,Andrea Díaz,1004,Consola de Videojuegos,3,4268.23,1632.88,2024-05-10 10:40:45.234626,Teléfono,Adultos,2,Viajes
676,Juan Rivera,1012,Plancha,2,2683.13,1805.46,2023-12-25 10:40:45.234628,Teléfono,Empresas,17,Entretenimiento
784,Alejandra Gómez,1002,Memoria USB,7,2344.47,769.79,2023-07-01 10:40:45.234630,Teléfono,Hogares,35,Gastronomía
229,Andrea Sánchez,1018,Licuadora,8,2672.19,374.44,2022-12-15 10:40:45.234632,Catálogo,Tercera Edad,10,Deportes
877,Sofía González,1018,Parlantes,2,4429.05,1656.23,2023-04-16 10:40:45.234633,Teléfono,Jóvenes,50,Tecnología
994,Pedro Pérez,1016,Aire Acondicionado,1,48.9,1558.32,2024-03-01 10:40:45.234635,Aplicación Móvil,Empresas,28,Moda
413,Pedro Sánchez,1013,Reloj Inteligente,1,4890.77,422.66,2024-10-08 10:40:45.234637,Teléfono,Tercera Edad,31,Hogar
480,Carlos Pérez,1006,Disco Duro,3,2278.97,1130.05,2023-02-12 10:40:45.234638,Catálogo,Jóvenes,21,Entretenimiento
653,Isabella Martínez,1004,Tostadora,9,2730.06,1416.63,2023-12-18 10:40:45.234640,Teléfono,Empresas,5,Automotriz
894,Manuel Torres,1029,Disco Duro,1,4606.23,352.69,2024-11-03 10:40:45.234642,Ventas Directas,Profesionales,33,Hogar
635,Luis López,1016,Ratón,7,1657.04,294.04,2024-06-07 10:40:45.234644,Teléfono,Profesionales,47,Viajes
598,Daniela Rodríguez,1001,Smartphone,5,1444.38,363.92,2023-05-24 10:40:45.234645,Tienda Física,Profesionales,20,Gastronomía
602,Jorge Martínez,1012,Microondas,6,3596.63,2991.17,2023-11-30 10:40:45.234647,Catálogo,Jóvenes,35,Gastronomía
45,Andrea Pérez,1012,Licuadora,3,4671.62,2251.48,2023-03-26 10:40:45.234649,Teléfono,Adultos,3,Viajes
673,José Martínez,1023,Parlantes,3,3329.77,71.6,2024-08-19 10:40:45.234650,Teléfono,Jóvenes,39,Viajes
16,Jorge Herrera,1029,Disco Duro,8,4404.76,2443.94,2023-08-31 10:40:45.234652,En Línea,Jóvenes,14,Deportes
236,Daniela Vásquez,1012,Consola de Videojuegos,6,1768.07,11.68,2022-12-20 10:40:45.234654,Tienda Física,Jóvenes,26,Tecnología
309,Fernando Ramírez,1007,Ventilador,1,4470.6,2669.83,2023-01-30 10:40:45.234655,Teléfono,Hogares,41,Tecnología
765,Camila García,1016,Disco Duro,2,78.41,2027.7,2022-12-10 10:40:45.234657,Tienda Física,Adultos,11,Moda
970,Juan Reyes,1021,Microondas,8,1398.35,2705.42,2024-08-21 10:40:45.234659,Teléfono,Jóvenes,20,Moda
483,José Vásquez,1028,Teclado,7,860.82,1898.92,2023-05-01 10:40:45.234660,Aplicación Móvil,Estudiantes,10,Belleza
893,Miguel Díaz,1005,Teclado,5,397.19,2291.88,2024-10-31 10:40:45.234663,En Línea,Hogares,8,Automotriz
721,Manuel González,1011,Plancha,9,4148.79,627.59,2023-11-30 10:40:45.234664,Catálogo,Hogares,11,Viajes
988,Daniela Pérez,1018,Memoria USB,8,443.89,1860.32,2022-12-18 10:40:45.234666,Tienda Física,Estudiantes,31,Deportes
584,María Romero,1024,Lavadora,4,4747.6,2329.94,2024-06-05 10:40:45.234667,Catálogo,Empresas,13,Automotriz
1,Diego Pérez,1030,Lavadora,6,3233.34,2835.29,2024-02-15 10:40:45.234669,En Línea,Hogares,6,Deportes
93,Luis Romero,1007,Lavadora,9,2039.08,1853.86,2023-03-07 10:40:45.234671,Catálogo,Estudiantes,29,Moda
789,Daniela Martínez,1001,Lavadora,1,2567.27,2345.71,2023-07-16 10:40:45.234672,Teléfono,Adultos,5,Gastronomía
934,Luis Flores,1016,Lavadora,8,4694.97,1813.26,2024-08-31 10:40:45.234674,Tienda Física,Empresas,47,Entretenimiento
577,Pedro Suárez,1024,Lavadora,8,3286.35,117.39,2024-02-23 10:40:45.234676,Teléfono,Adultos,27,Automotriz
591,Alejandra Rodríguez,1024,Laptop,6,357.82,1488.93,2024-10-23 10:40:45.234678,Catálogo,Empresas,3,Gastronomía
502,Juan Reyes,1016,Plancha,1,4159.83,57.92,2023-03-13 10:40:45.234680,Aplicación Móvil,Profesionales,50,Gastronomía
696,Lucía Sosa,1010,Lavadora,2,1247.77,397.16,2023-07-26 10:40:45.234681,Tienda Física,Tercera Edad,13,Moda
